	{斜玉}
󳐭	{𰎻字底字心字心}
󳐮	{𰎻字底字心}
󳐯	{𰎻字底}
󳐰	{𰏱字边}
󳐱	{𰏽字心}
󳐲	{𰐃字心}
󳐳	{𰐘字边}
󳐴	{𰐢字框}
󳐵	{𰐳字边}
󳐶	{𰐶字边}
󳐷	{𰐸字边}
󳐸	{𰐹字边}
󳐹	{𰑯字边}
󳐺	{𰑲字头}
󳐻	{𰑴字头}
󳐼	{𰒌字头}
󳐽	{𰒛字头}
󳐾	{𰒛字头之一}
󳐿	{𰒟字边}
󳑁	{𰒨字心}
󳑂	{𰒯字旁}
󳑃	{𰓳字边}
󳑄	{𰓴字边}
󳑅	{𰔁字边}
󳑆	{𰔍字边}
󳑇	{𰔏字边}
󳑈	{𰔏字边之一}
󳑉	{𰔩字边}
󳑊	{𰔯字边字头}
󳑋	{𰔯字边}
󳑌	{𰔷字边}
󳑍	{𰔻字边字底字心}
󳑎	{𰔻字边字底}
󳑏	{𰔻字边}
󳑐	{𰔼字边}
󳑑	{𰕑字旁}
󳑒	{𰕔字旁}
󳑓	{𰕟字旁}
󳑔	{𰕡字旁}
󳑕	{𰕤字旁}
󳑖	{𰕬字边}
󳑗	{𰕭字边}
󳑘	{𰕮字边}
󳑙	{𰖒字边}
󳑚	{𰖘字头}
󳑛	{𰗇字边}
󳑜	{𰘕字底}
󳑝	{𰘖字边}
󳑞	{𰘵字边字头}
󳑟	{𰘵字边}
󳑠	{𰙆字底}
󳑡	{𰙈字底}
󳑢	{𰙍字旁}
󳑣	{𰙐字旁}
󳑤	{𰙒字旁}
󳑥	{𰙙字旁}
󳑦	{𰚄字旁}
󳑧	{𰚉字旁}
󳑨	{𰚊字旁}
󳑩	{𰚭字旁}
󳑪	{𰚮字旁}
󳑫	{𰛃字心}
󳑭	{𰛕字心}
󳑮	{𰛿字边}
󳑯	{𰜂字框}
󳑰	{𰜂字框之一}
󳑱	{𰜋字边}
󳑲	{𰜑字边}
󳑳	{𰜘字边}
󳑴	{𰜛字边}
󳑵	{𰜥字边字底}
󳑶	{𰜥字边}
󳑷	{𰜰字边}
󳑸	{𰜾字底}
󳑹	{𰝀字边}
󳑺	{𰝙字边}
󳑻	{𰝙字边之一}
󳑼	{𰝝字边}
󳑽	{𰝡字边}
󳑾	{𰝡字边之一}
󳑿	{𰝪字腰}
󳒀	{𰝫字边}
󳒂	{𰝲字边}
󳒃	{𰝴字边}
󳒄	{𰞬字边}
󳒅	{𰞭字边字底字心}
󳒆	{𰞭字边字底}
󳒇	{𰞭字边}
󳒈	{𰟑字底字框}
󳒉	{𰟑字底}
󳒊	{𰟷字头}
󳒋	{𰟷字头之一}
󳒌	{𰟺字边}
󳒍	{𰠈字旁}
󳒎	{𰠉字腰}
󳒏	{𰠉字腰之一}
󳒐	{𰠶字边}
󳒑	{𰡩字中}
󳒒	{𰡬字边}
󳒓	{𰡿字边}
󳒔	{𰢖字边}
󳒕	{𰢡字旁}
󳒖	{𰣟字边}
󳒗	{𰣟字头}
󳒘	{𰤋字心字边}
󳒙	{𰤋字心}
󳒚	{𰤿字头}
󳒛	{𰥆字头}
󳒝	{𰦂字头}
󳒞	{𰦆字边}
󳒠	{𰦻字旁}
󳒡	{𰧍字底}
󳒢	{𰧨字边}
󳒣	{𰨂字边}
󳒥	{𰨑字边字底}
󳒦	{𰨑字边}
󳒨	{𰨑字边之一}
󳒩	{𰨘字边}
󳒪	{𰨶字边}
󳒫	{𰩓字底}
󳒬	{𰩘字底}
󳒱	{𰭍字底}
󳒹	{𰯌字边}
󳒻	{𰯍字边}
󳒽	{𰯒字边字底}
󳒾	{𰯒字边}
󳓀	{𰯒字边之一}
󳓁	{𰯓字边字底}
󳓂	{𰯓字边}
󳓄	{𰯓字边之一}
󳓇	{𰯙字边}
󳓈	{𰯙字边之一}
󳓉	{𰯝字边}
󳓌	{𰯤字边}
󳓎	{𰯤字边之一}
󳓏	{𰯪字边}
󳓒	{𰯲字边之一}
󳓓	{𰰊字头}
󳓔	{𰰍字边}
󳓕	{𰱄字底}
󳓖	{𰱙字底}
󳓗	{𰱪字底}
󳓘	{𰱪字底之一}
󳓙	{𰱭字底}
󳓚	{𰱭字底之一}
󳓛	{𰲒字底}
󳓜	{𰲔字底}
󳓞	{𰲗字底}
󳓟	{𰳭字心}
󳓠	{𰳮字心}
󳓡	{𰴉字边}
󳓢	{𰴊字边}
󳓣	{𰴔字旁}
󳓤	{𰴳字边}
󳓥	{𰶕字边}
󳓨	{𰷅字边}
󳓩	{𰷋字边}
󳓪	{𰷏字边}
󳓫	{𰷜字边字底字心}
󳓬	{𰷜字边字底}
󳓭	{𰷜字边}
󳓮	{𰷝字头}
󳓰	{𰸝字边}
󳓱	{𰸧字边}
󳓲	{𰸨字边}
󳓳	{𰸻字边}
󳓴	{𰹕字边}
󳓵	{𰹙字边}
󳓶	{𰹜字边}
󳓷	{𰹣字边}
󳓸	{𰹭字边字底字旁}
󳓹	{𰹭字边字底}
󳓺	{𰹭字边}
󳓻	{𰹭字边字底字旁之一}
󳓼	{𰹭字边字底之一}
󳓽	{𰹭字边之一}
󳓾	{𰹮字边}
󳓿	{𰺦字边}
󳔀	{𰺦字边之一}
󳔁	{𰻌字框}
󳔂	{𰻎字框}
󳔃	{𰻔字框字边}
󳔄	{𰻔字框}
󳔅	{𰻗字框}
󳔆	{𰻜字框}
󳔇	{𰻝字框字腰字框字底字心}
󳔈	{𰻝字框字腰字框字底}
󳔉	{𰻝字框字腰字框}
󳔊	{𰻝字框字腰}
󳔋	{𰻝字框}
󳔌	{𰻞字框字腰字框字底}
󳔍	{𰻞字框字腰字框}
󳔎	{𰻞字框字腰}
󳔏	{𰻞字框}
󳔐	{𰻞字框之一}
󳔑	{𰻱字头}
󳔒	{𰻴字旁}
󳔓	{𰻶字旁}
󳔔	{𰻽字旁字心}
󳔕	{𰻽字旁}
󳔖	{𰻽字旁字心之一}
󳔗	{𰻽字旁之一}
󳔙	{𰻾字旁}
󳔚	{𰼂字旁字底}
󳔛	{𰼂字旁}
󳔜	{𰼎字边字底}
󳔝	{𰼎字边}
󳔟	{𰼎字边之一}
󳔠	{𰼎字边字底之二}
󳔡	{𰼎字边之二}
󳔢	{𰼒字边}
󳔣	{𰼕字边}
󳔤	{𰼩字头}
󳔥	{𰽓字边}
󳔦	{𰽔字头}
󳔧	{𰿑字边}
󳔨	{𰿓字边}
󳔩	{𰿞字心}
󳔪	{𱀐字边}
󳔫	{𱀑字边}
󳔬	{𱀤字边}
󳔭	{𱀦字边}
󳔮	{𱀫字边}
󳔯	{𱀭字边}
󳔰	{𱀰字边}
󳔱	{𱀲字边字底}
󳔲	{𱀲字边}
󳔳	{𱀹字边字底}
󳔴	{𱀹字边}
󳔵	{𱀹字边字底之一}
󳔶	{𱀹字边之一}
󳔷	{𱁁字边}
󳔸	{𱁎字旁}
󳔹	{𱁐字旁}
󳔺	{𱁜字底}
󳔻	{𱁬字腰}
󳔽	{𱂖字旁}
󳔾	{𱂛字旁}
󳔿	{𱂞字旁}
󳕀	{𱂞字旁之一}
󳕁	{𱂟字旁}
󳕂	{𱂹字旁}
󳕃	{𱃌字旁}
󳕄	{𱃝字底}
󳕅	{𱄌字心}
󳕆	{𱄜字边}
󳕇	{𱄯字边}
󳕈	{𱄰字边}
󳕉	{𱄶字边}
󳕊	{𱄺字边}
󳕋	{𱄻字边}
󳕌	{𱅠字边}
󳕍	{𱅾字旁}
󳕎	{𱆐字头}
󳕏	{𱆑字头}
󳕐	{𱆒字头}
󳕑	{𱆔字头}
󳕒	{𱆕字头字中}
󳕓	{𱆕字头}
󳕔	{𱆕字头字中之一}
󳕕	{𱆕字头之一}
󳕖	{𱆢字旁}
󳕗	{𱆱字边}
󳕘	{𱆸字边}
󳕙	{𱆿字边}
󳕚	{𱇱字边}
󳕛	{𱈑字中}
󳕜	{𱈜字底}
󳕝	{𱈧字旁}
󳕞	{𱈼字旁}
󳕟	{𱉀字旁}
󳕠	{𱉀字旁之一}
󳕡	{𱉃字旁}
󳕢	{𱉃字旁之一}
󳕣	{𱉆字边}
󳕤	{𱊮字底}
󳕥	{𱋀字心}
󳕦	{𱋞字旁}
󳕧	{𱋧字边}
󳕩	{𱋩字边}
󳕪	{𱋵字边}
󳕫	{𱌌字底}
󳕬	{𱌌字底之一}
󳕭	{𱌗字底}
󳕮	{𱌙字底}
󳕯	{𱌣字边}
󳕰	{𱌣字边之一}
󳕱	{𱍓字心字心}
󳕲	{𱍓字心}
󳕳	{𱍓字心之一}
󳕴	{𱍕字底}
󳕵	{𱍕字底之一}
󳕶	{𱍗字底}
󳕷	{𱍥字腰}
󳕸	{𱍩字边}
󳕹	{𱍪字底}
󳕻	{𱍫字头}
󳕼	{𱎎字头}
󳕽	{𱎓字底}
󳕾	{𱎘字底}
󳖀	{𱎦字边}
󳖁	{𱎮字边}
󳖂	{𱎵字边}
󳖃	{𱏅字边}
󳖄	{𱏇字边}
󳖅	{𱏌字边}
󳖆	{𱏚字边}
󳖇	{𱏝字边}
󳖈	{𱏞字边}
󳖉	{𱏠字边}
󳖊	{𱏢字边字心字心}
󳖋	{𱏢字边字心}
󳖌	{𱏢字边}
󳖍	{𱏵字头}
󳖏	{𱏷字底}
󳖐	{𱏻字心}
󳖑	{𱏽字底}
󳖒	{𱐏字底}
󳖓	{𱐘字旁}
󳖔	{𱐞字旁}
󳖕	{𱐣字旁}
󳖖	{𱐥字旁字底}
󳖗	{𱐥字旁}
󳖘	{𱐵字旁字底}
󳖙	{𱐵字旁}
󳖚	{𱐵字旁之一}
󳖛	{𱑐字框}
󳖜	{𱑕字框}
󳖝	{𱑵字底}
󳖞	{𱑼字边}
󳖟	{𱑾字腰}
󳖠	{𱒭字底}
󳖡	{𱒰字边}
󳖢	{𱒼字边}
󳖣	{𱓀字边}
󳖤	{𱓉字边}
󳖥	{𱓍字边}
󳖦	{𱓍字边之一}
󳖨	{𱓴字边}
󳖪	{𱔛字心}
󳖫	{𱔪字边}
󳖬	{𱕴字边}
󳖭	{𱖁字心}
󳖮	{𱖳字边}
󳖯	{𱗉字边}
󳖰	{𱗟字边}
󳖱	{𱗭字边}
󳖲	{𱗵字头}
󳖳	{𱘈字头}
󳖴	{𱘐字边}
󳖵	{𱘙字头}
󳖶	{𱘭字底}
󳖷	{𱙨字边字底字心}
󳖸	{𱙨字边字底}
󳖹	{𱙨字边}
󳖺	{𱙲字旁}
󳖻	{𱙲字边}
󳖼	{𱚆字底}
󳖽	{𱚎字底}
󳖾	{𱚒字底}
󳖿	{𱚙字腰}
󳗀	{𱚜字腰}
󳗁	{𱚧字框}
󳗂	{𱚧字框之一}
󳗃	{𱚻字心}
󳗄	{𱛃字底}
󳗅	{𱛺字心}
󳗆	{𱜕字底}
󳗇	{𱜟字边}
󳗈	{𱜠字底}
󳗉	{𱜦字头}
󳗋	{𱜹字框}
󳗌	{𱜻字边字底}
󳗍	{𱜻字边}
󳗎	{𱝅字心}
󳗏	{𱝡字底}
󳗐	{𱝥字框}
󳗑	{𱞐字边}
󳗒	{𱟂字边}
󳗓	{𱟉字边}
󳗔	{𱟛字头}
󳗕	{𱟛字腰字心}
󳗖	{𱟛字腰}
󳗗	{𱟛字头字框}
󳗘	{𱟛字头字心字边}
󳗙	{𱟛字头字心}
󳗚	{𱟛字头之一}
󳗛	{𱟞字心}
󳗜	{𱠀字边}
󳗝	{𱠖字边}
󳗞	{𱠝字边}
󳗟	{𱠴字边}
󳗠	{𱠹字边}
󳗡	{𱡈字边}
󳗢	{𱡑字边}
󳗣	{𱡔字边}
󳗤	{𱡣字心}
󳗥	{𱡧字底}
󳗦	{𱡫字旁}
󳗧	{𱡮字旁}
󳗨	{𱡳字边}
󳗩	{𱡸字边}
󳗪	{𱢓字底字边}
󳗫	{𱢓字底}
󳗬	{𱣈字边}
󳗮	{𱣔字边字底}
󳗯	{𱣔字边}
󳗰	{𱣠字边}
󳗱	{𱣸字边}
󳗲	{𱤁字边}
󳗳	{𱤂字边字底}
󳗴	{𱤂字边}
󳗵	{𱤖字边}
󳗶	{𱤛字边}
󳗷	{𱤞字边}
󳗸	{𱤤字边}
󳗹	{𱤪字边}
󳗺	{𱤶字边}
󳗻	{𱤺字底}
󳗼	{𱥌字旁}
󳗽	{𱥖字旁}
󳗾	{𱥚字旁}
󳗿	{𱥚字旁之一}
󳘀	{𱥨字心字框}
󳘁	{𱥨字心}
󳘂	{𱥽字底字框}
󳘃	{𱥽字底}
󳘄	{𱥾字边}
󳘅	{𱥿字边}
󳘆	{𱦂字边}
󳘇	{𱦇字边}
󳘈	{𱦌字边}
󳘉	{𱦎字边}
󳘊	{𱦒字边}
󳘋	{𱦓字边}
󳘌	{𱦖字边}
󳘍	{𱦘字边字底}
󳘎	{𱦘字边}
󳘏	{𱦙字边}
󳘐	{𱦛字边字底}
󳘑	{𱦛字边}
󳘒	{𱦞字边}
󳘓	{𱦟字边}
󳘔	{𱦠字边}
󳘕	{𱦢字边}
󳘖	{𱦤字边字底字心}
󳘗	{𱦤字边字底}
󳘘	{𱦤字边}
󳘙	{𱦥字边字框}
󳘚	{𱦥字边}
󳘛	{𱦩字边}
󳘝	{𱦫字边}
󳘞	{𱦯字边}
󳘟	{𱦰字边}
󳘠	{𱦱字边}
󳘡	{𱦴字边}
󳘢	{𱦹字中}
󳘣	{𱦹字边字框}
󳘤	{𱦹字边}
󳘥	{𱦺字边字底}
󳘦	{𱦺字边}
󳘧	{𱦻字边}
󳘨	{𱦾字边}
󳘩	{𱦾字边之一}
󳘪	{𱦿字边}
󳘫	{𱧂字边}
󳘬	{𱧃字边}
󳘭	{𱧄字边字头}
󳘮	{𱧄字边}
󳘯	{𱧅字边}
󳘰	{𱧊字边}
󳘱	{𱧋字边}
󳘲	{𱧌字边}
󳘳	{𱧍字边字头}
󳘴	{𱧍字边}
󳘵	{𱧏字边}
󳘶	{𱧐字边}
󳘷	{𱧑字边}
󳘹	{𱧒字边}
󳘺	{𱧓字边}
󳘻	{𱧕字边字底}
󳘼	{𱧕字边}
󳘽	{𱧖字头字边}
󳘾	{𱧖字头}
󳘿	{𱧗字中}
󳙀	{𱧘字边}
󳙁	{𱧙字边字底字心}
󳙂	{𱧙字边字底}
󳙃	{𱧙字边}
󳙄	{𱧣字边}
󳙅	{𱧤字边}
󳙆	{𱧨字边}
󳙇	{𱧩字边字心}
󳙈	{𱧩字边}
󳙊	{𱧫字边}
󳙋	{𱧬字边}
󳙌	{𱧰字边}
󳙍	{𱧱字边字底}
󳙎	{𱧱字边}
󳙏	{𱧲字边}
󳙐	{𱧺字边}
󳙑	{𱧻字边}
󳙒	{𱧼字边字底字心}
󳙓	{𱧼字边字底}
󳙔	{𱧼字边}
󳙕	{𱧽字边字底}
󳙖	{𱧽字边}
󳙗	{𱧾字边}
󳙘	{𱧿字边字腰字边}
󳙙	{𱧿字边字腰}
󳙚	{𱧿字边}
󳙛	{𱨀字边}
󳙜	{𱨂字边}
󳙝	{𱨄字边}
󳙞	{𱨆字边}
󳙟	{𱨇字边}
󳙠	{𱨇字边之一}
󳙡	{𱨌字边字头}
󳙢	{𱨌字边}
󳙣	{𱨍字边}
󳙤	{𱨎字边字头}
󳙥	{𱨎字边}
󳙦	{𱨏字边字头}
󳙧	{𱨏字边}
󳙨	{𱨏字边之一}
󳙩	{𱨒字边}
󳙪	{𱨒字边之一}
󳙫	{𱨓字边字底}
󳙬	{𱨓字边}
󳙭	{𱨔字边}
󳙮	{𱨔字边之一}
󳙯	{𱨕字边}
󳙰	{𱨗字边字头}
󳙱	{𱨗字边}
󳙲	{𱨘字边}
󳙳	{𱨛字边}
󳙴	{𱨜字边}
󳙵	{𱨝字边字心}
󳙶	{𱨝字边}
󳙷	{𱨞字边}
󳙸	{𱨞字边之一}
󳙹	{𱨟字边字底字心}
󳙺	{𱨟字边字底}
󳙻	{𱨟字边}
󳙼	{𱨠字边}
󳙽	{𱨠字边之一}
󳙾	{𱨡字边}
󳙿	{𱨢字边字底}
󳚀	{𱨢字边}
󳚁	{𱨤字边}
󳚂	{𱨥字边}
󳚃	{𱨨字边字头字心}
󳚄	{𱨨字边字头}
󳚅	{𱨨字边}
󳚆	{𱨨字边字头字心之一}
󳚇	{𱨨字边字头之一}
󳚈	{𱨨字边之一}
󳚉	{𱨨字边字腰}
󳚊	{𱨨字边之二}
󳚋	{𱨨字边字腰之一}
󳚌	{𱨨字边之三}
󳚍	{𱨩字头}
󳚎	{𱨪字边}
󳚏	{𱨫字边}
󳚐	{𱨭字边}
󳚑	{𱨮字边}
󳚒	{𱨯字边}
󳚓	{𱨰字边}
󳚔	{𱨱字中}
󳚕	{𱨵字边字底}
󳚖	{𱨵字边}
󳚗	{𱨶字边字边}
󳚘	{𱨶字边}
󳚙	{𱨷字边}
󳚚	{𱨹字边字头}
󳚛	{𱨹字边}
󳚜	{𱨺字边}
󳚝	{𱨼字边}
󳚞	{𱨽字边}
󳚟	{𱨾字边字头}
󳚠	{𱨾字边}
󳚡	{𱩀字边}
󳚢	{𱩁字边字头}
󳚣	{𱩁字边}
󳚤	{𱩃字边}
󳚥	{𱩄字边}
󳚦	{𱩅字边字腰}
󳚧	{𱩅字边字底}
󳚨	{𱩅字边}
󳚩	{𱩈字边字头}
󳚪	{𱩈字边}
󳚫	{𱩊字边}
󳚬	{𱩍字边}
󳚭	{𱩎字边}
󳚮	{𱩏字边}
󳚯	{𱩐字边}
󳚰	{𱩑字边}
󳚱	{𱩓字边}
󳚲	{𱩙字边字底字旁}
󳚳	{𱩙字边字底}
󳚴	{𱩙字边}
󳚵	{𱩚字边字底}
󳚶	{𱩚字边}
󳚷	{𱩛字边字头}
󳚸	{𱩛字边}
󳚹	{𱩜字边字腰字心字边}
󳚺	{𱩜字边字腰字心}
󳚻	{𱩜字边字腰}
󳚼	{𱩜字边}
󳚽	{𱩝字边}
󳚾	{𱩞字边}
󳚿	{𱩟字边}
󳛀	{𱩠字中}
󳛁	{𱩢字中}
󳛂	{𱩤字旁}
󳛃	{𱩥字边}
󳛄	{𱩦字边}
󳛅	{𱩨字中}
󳛆	{𱩨字边}
󳛇	{𱩩字边}
󳛈	{𱩩字边之一}
󳛉	{𱩬字边字心}
󳛊	{𱩬字边}
󳛋	{𱩭字边}
󳛌	{𱩮字边字心}
󳛍	{𱩮字边}
󳛎	{𱩰字边字腰}
󳛏	{𱩰字边}
󳛐	{𱩰字边字腰之一}
󳛑	{𱩰字边之一}
󳛒	{𱩲字边字底}
󳛓	{𱩲字边}
󳛕	{𱩲字边之一}
󳛖	{𱩳字边}
󳛗	{𱩴字边}
󳛘	{𱩷字边字底字心}
󳛙	{𱩷字边字底}
󳛚	{𱩷字边}
󳛛	{𱩸字边}
󳛜	{𱩼字边}
󳛝	{𱪀字边}
󳛞	{𱪂字边字底字心}
󳛟	{𱪂字边字底}
󳛠	{𱪂字边}
󳛡	{𱪃字边字底字心}
󳛢	{𱪃字边字底}
󳛣	{𱪃字边}
󳛤	{𱪄字边}
󳛥	{𱪅字边字底}
󳛦	{𱪅字边}
󳛧	{𱪅字边字底之一}
󳛨	{𱪅字边之一}
󳛩	{𱪆字边}
󳛪	{𱪇字边}
󳛫	{𱪇字边之一}
󳛬	{𱪉字边字心}
󳛭	{𱪉字边}
󳛮	{𱪊字边字底}
󳛯	{𱪊字边}
󳛰	{𱪋字边字底}
󳛱	{𱪋字边}
󳛲	{𱪍字边}
󳛳	{𱪒字边字底字心}
󳛴	{𱪒字边字底}
󳛵	{𱪒字边}
󳛷	{𱪔字边字底}
󳛸	{𱪔字边}
󳛹	{𱪕字边字腰}
󳛺	{𱪕字边}
󳛼	{𱪙字边字底}
󳛽	{𱪙字边}
󳛾	{𱪛字边字底}
󳛿	{𱪛字边}
󳜀	{𱪜字边字底}
󳜁	{𱪜字边}
󳜂	{𱪜字边字底之一}
󳜃	{𱪜字边之一}
󳜅	{𱪞字边}
󳜆	{𱪞字边之一}
󳜈	{𱪞字边之二}
󳜉	{𱪟字边字底}
󳜊	{𱪟字边}
󳜋	{𱪠字边字底}
󳜌	{𱪠字边}
󳜍	{𱪠字边字底之一}
󳜎	{𱪠字边之一}
󳜏	{𱪷字底字框}
󳜐	{𱪷字底}
󳜑	{𱪺字底}
󳜓	{𱪼字头}
󳜔	{𱫆字头}
󳜕	{𱫎字边}
󳜖	{𱫏字边字头}
󳜗	{𱫏字边}
󳜘	{𱫙字头}
󳜙	{𱫞字头}
󳜛	{𱫡字头字旁}
󳜜	{𱫡字头}
󳜝	{𱫢字心}
󳜞	{𱫣字边}
󳜟	{𱫤字头}
󳜠	{𱫥字头}
󳜡	{𱫧字头字边}
󳜢	{𱫧字头}
󳜣	{𱫧字头字边之一}
󳜤	{𱫧字头之一}
󳜥	{𱫫字头}
󳜦	{𱫭字头}
󳜧	{𱫰字头字边}
󳜨	{𱫰字头}
󳜩	{𱫰字头之一}
󳜪	{𱫲字边}
󳜫	{𱫴字边}
󳜬	{𱫶字边}
󳜭	{𱫹字头}
󳜮	{𱫿字头字旁}
󳜯	{𱫿字头}
󳜰	{𱬆字头}
󳜱	{𱬈字边}
󳜲	{𱬉字边}
󳜳	{𱬌字边}
󳜴	{𱬗字头}
󳜵	{𱬚字边字底}
󳜶	{𱬚字边}
󳜷	{𱬛字框}
󳜸	{𱬠字旁}
󳜹	{𱬣字旁}
󳜺	{𱬤字头}
󳜻	{𱬤字头之一}
󳜼	{𱬩字头}
󳜽	{𱬮字边}
󳜾	{𱬯字旁}
󳜿	{𱬯字中}
󳝀	{𱬱字头}
󳝁	{𱬵字底}
󳝂	{𱬺字旁}
󳝃	{𱭂字底}
󳝅	{𱭅字心}
󳝆	{𱭆字底字心}
󳝇	{𱭆字底}
󳝈	{𱭇字底}
󳝉	{𱭑字边}
󳝊	{𱭕字旁}
󳝋	{𱭕字边}
󳝌	{𱭸字边}
󳝍	{𱭻字边}
󳝎	{𱭽字边}
󳝏	{𱮁字旁}
󳝐	{𱮈字边字底}
󳝑	{𱮈字边}
󳝒	{𱮉字边}
󳝓	{𱮎字边字头}
󳝔	{𱮎字边}
󳝕	{𱮓字边}
󳝖	{𱮖字边}
󳝗	{𱮚字边}
󳝘	{𱮚字边之一}
󳝙	{𱮞字边}
󳝚	{𱮠字边}
󳝛	{𱮡字旁}
󳝜	{𱮤字旁}
󳝝	{𱮦字边字底字旁}
󳝞	{𱮦字边字底}
󳝟	{𱮦字边}
󳝠	{𱮧字边}
󳝡	{𱮨字边}
󳝢	{𱮩字旁字底}
󳝣	{𱮩字旁}
󳝤	{𱮪字旁字框}
󳝥	{𱮪字旁字心}
󳝦	{𱮪字旁}
󳝧	{𱮫字旁字心}
󳝨	{𱮫字旁}
󳝩	{𱮭字边字底字腰}
󳝪	{𱮭字边字底}
󳝫	{𱮭字边}
󳝭	{𱮭字边之一}
󳝮	{𱮹字边}
󳝯	{𱮻字头}
󳝰	{𱮼字头}
󳝱	{𱯀字头}
󳝲	{𱯁字边}
󳝴	{𱯃字边}
󳝵	{𱯅字边}
󳝶	{𱯅字边之一}
󳝷	{𱯈字边}
󳝸	{𱯉字边}
󳝹	{𱯊字边}
󳝺	{𱯏字头字旁}
󳝻	{𱯏字头}
󳝽	{𱯒字边}
󳝾	{𱯔字边}
󳝿	{𱯕字边}
󳞀	{𱯖字边字底}
󳞁	{𱯖字边}
󳞂	{𱯗字边}
󳞃	{𱯘字边}
󳞄	{𱯠字边字心}
󳞅	{𱯠字边}
󳞆	{𱯡字边字心}
󳞇	{𱯡字边}
󳞈	{𱯢字旁}
󳞉	{𱯣字边}
󳞊	{𱯫字边字底}
󳞋	{𱯫字边}
󳞌	{𱯬字边}
󳞍	{𱯭字腰}
󳞏	{𱯰字边字底}
󳞐	{𱯰字边}
󳞑	{𱯰字边之一}
󳞒	{𱯱字边}
󳞓	{𱯳字旁}
󳞕	{𱯶字边}
󳞗	{𱯶字边之一}
󳞘	{𱯷字边字底}
󳞙	{𱯷字边}
󳞚	{𱯸字边}
󳞛	{𱯺字边}
󳞜	{𱯺字边之一}
󳞝	{𱯽字边}
󳞞	{𱯾字边}
󳞠	{𱯿字边}
󳞡	{𱰀字边字头字底}
󳞢	{𱰀字边字头}
󳞣	{𱰀字边}
󳞤	{𱰀字边字头之一}
󳞥	{𱰀字边之一}
󳞦	{𱰂字边}
󳞧	{𱰃字边}
󳞨	{𱰄字头}
󳞩	{𱰅字旁}
󳞫	{𱰇字底字心}
󳞬	{𱰇字底}
󳞭	{𱰨字底}
󳞮	{𱰴字头}
󳞯	{𱰵字头}
󳞰	{𱰽字旁}
󳞱	{𱰿字边字腰字框}
󳞲	{𱰿字边字腰}
󳞳	{𱰿字边}
󳞴	{𱱁字头}
󳞵	{𱱆字旁字底}
󳞶	{𱱆字旁}
󳞷	{𱱒字心}
󳞸	{𱱙字心}
󳞹	{𱱚字心}
󳞺	{𱱢字心}
󳞻	{𱱢字心之一}
󳞼	{𱱨字心}
󳞽	{𱱨字心之一}
󳞾	{𱱮字心}
󳞿	{𱱱字心}
󳟀	{𱱲字心}
󳟁	{𱱶字底}
󳟂	{𱱷字底}
󳟃	{𱲆字旁}
󳟄	{𱲐字头}
󳟅	{𱲑字头}
󳟆	{𱲔字头}
󳟇	{𱲕字底}
󳟈	{𱲖字底}
󳟉	{𱲙字底}
󳟋	{𱲚字头字边}
󳟌	{𱲚字头}
󳟍	{𱲛字头}
󳟎	{𱲝字底字心}
󳟏	{𱲝字底}
󳟐	{𱲟字头}
󳟑	{𱲡字头}
󳟒	{𱲭字边}
󳟕	{𱲸字头}
󳟖	{𱲻字底}
󳟗	{𱳉字边}
󳟘	{𱳊字边}
󳟙	{𱳎字边字底}
󳟚	{𱳎字边}
󳟛	{𱳏字边}
󳟜	{𱳐字边字底字心}
󳟝	{𱳐字边字底}
󳟞	{𱳐字边}
󳟟	{𱳐字边字底字心之一}
󳟠	{𱳐字边字底之一}
󳟡	{𱳐字边之一}
󳟢	{𱳑字边字底}
󳟣	{𱳑字边}
󳟤	{𱳔字边字心}
󳟥	{𱳔字边}
󳟦	{𱳕字旁字底}
󳟧	{𱳕字旁}
󳟨	{𱳕字边字头}
󳟩	{𱳕字边}
󳟪	{𱳖字边字底字心}
󳟫	{𱳖字边字底}
󳟬	{𱳖字边}
󳟭	{𱳙字边字底字心}
󳟮	{𱳙字边字底}
󳟯	{𱳙字边}
󳟱	{𱳤字中}
󳟲	{𱳶字边}
󳟳	{𱳷字边}
󳟴	{𱳸字边}
󳟵	{𱳽字边}
󳟶	{𱳿字边}
󳟷	{𱴅字旁}
󳟸	{𱴖字边}
󳟹	{𱴝字头}
󳟺	{𱴢字边}
󳟻	{𱴫字头字边}
󳟼	{𱴫字头}
󳟽	{𱴲字头字旁}
󳟾	{𱴲字头}
󳟿	{𱴺字边}
󳠀	{𱵂字中}
󳠃	{𱵇字边}
󳠆	{𱵈字边}
󳠉	{𱵉字边}
󳠋	{𱵊字框}
󳠌	{𱵌字边}
󳠎	{𱵍字边}
󳠑	{𱵏字边}
󳠔	{𱵐字边}
󳠗	{𱵕字边}
󳠙	{𱵘字边}
󳠛	{𱵚字边字心}
󳠜	{𱵚字边}
󳠞	{𱵚字边之一}
󳠟	{𱵛字旁}
󳠠	{𱵛字边字头}
󳠡	{𱵛字边}
󳠣	{𱵞字边}
󳠥	{𱵠字边}
󳠨	{𱵣字边}
󳠪	{𱵤字边}
󳠬	{𱵦字边}
󳠮	{𱵧字边}
󳠳	{𱵮字头字框}
󳠴	{𱵮字头}
󳠵	{𱵱字边}
󳠶	{𱵱字边之一}
󳠹	{𱵲字边字底}
󳠺	{𱵲字边}
󳠻	{𱵲字边之一}
󳠼	{𱵲字边字底之一}
󳠽	{𱵲字边之二}
󳠾	{𱵳字边}
